-m --algo ppo --save-interval 10 --lr 0.001 --procs 8 --spec 0 7 0 3

Namespace(algo='ppo', batch_size=256, clip_eps=0.2, discount=0.99, entropy_coef=0.01, env=None, epochs=4, frames=10000000, frames_per_proc=None, gae_lambda=0.95, log_interval=1, lr=0.001, max_grad_norm=0.5, mem=False, model=None, optim_alpha=0.99, optim_eps=1e-08, procs=8, recurrence=1, save_interval=10, seed=129296, spec=[0, 7, 0, 3], text=False, value_loss_coef=0.5)

Device: cpu

Environments loaded

Training status loaded

Observations preprocessor loaded
Model loaded

ACModel(
  (image_conv): Sequential(
    (0): Conv2d(3, 16, kernel_size=(2, 2), stride=(1, 1))
    (1): ReLU()
    (2): MaxPool2d(kernel_size=(2, 2), stride=(2, 2), padding=0, dilation=1, ceil_mode=False)
    (3): Conv2d(16, 32, kernel_size=(2, 2), stride=(1, 1))
    (4): ReLU()
    (5): Conv2d(32, 64, kernel_size=(2, 2), stride=(1, 1))
    (6): ReLU()
  )
  (actor): Sequential(
    (0): Linear(in_features=66, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=7, bias=True)
  )
  (critic): Sequential(
    (0): Linear(in_features=66, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=1, bias=True)
  )
)

Optimizer loaded

U 1 | F 002048 | FPS 0674 | D 3 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 0.0 0.0 0 0 | H 1.881 | V -0.435 | pL -0.077 | vL 0.001 | ∇ 0.070
U 2 | F 004096 | FPS 0664 | D 6 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 0.0 0.0 0 0 | H 1.878 | V -0.360 | pL -0.065 | vL 0.000 | ∇ 0.061
U 3 | F 006144 | FPS 0675 | D 9 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 324.0 0.0 324.0 324.0 | H 1.893 | V -0.277 | pL -0.098 | vL 0.006 | ∇ 0.096
U 4 | F 008192 | FPS 0671 | D 12 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 324.0 0.0 324.0 324.0 | H 1.911 | V -0.234 | pL -0.042 | vL 0.000 | ∇ 0.035
U 5 | F 010240 | FPS 0665 | D 15 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 324.0 0.0 324.0 324.0 | H 1.914 | V -0.203 | pL -0.035 | vL 0.000 | ∇ 0.031
U 6 | F 012288 | FPS 0673 | D 18 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 324.0 0.0 324.0 324.0 | H 1.920 | V -0.172 | pL -0.042 | vL 0.001 | ∇ 0.042
U 7 | F 014336 | FPS 0669 | D 21 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 324.0 0.0 324.0 324.0 | H 1.930 | V -0.146 | pL -0.025 | vL 0.000 | ∇ 0.026
U 8 | F 016384 | FPS 0674 | D 24 | rR:μσmM 0.01 0.05 0.00 0.19 | F:μσmM 322.1 7.5 293.0 324.0 | H 1.934 | V -0.106 | pL -0.041 | vL 0.001 | ∇ 0.038
U 9 | F 018432 | FPS 0671 | D 27 | rR:μσmM 0.01 0.05 0.00 0.19 | F:μσmM 322.1 7.5 293.0 324.0 | H 1.936 | V -0.101 | pL -0.017 | vL 0.000 | ∇ 0.017
U 10 | F 020480 | FPS 0663 | D 30 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 324.0 0.0 324.0 324.0 | H 1.938 | V -0.087 | pL -0.016 | vL 0.000 | ∇ 0.018
Status saved
