-m --algo ppo --save-interval 10 --lr 0.001 --procs 8 --spec 1 5 1 5

Namespace(algo='ppo', batch_size=256, clip_eps=0.2, discount=0.99, entropy_coef=0.01, env=None, epochs=4, frames=10000000, frames_per_proc=None, gae_lambda=0.95, log_interval=1, lr=0.001, max_grad_norm=0.5, mem=False, model=None, optim_alpha=0.99, optim_eps=1e-08, procs=8, recurrence=1, save_interval=10, seed=296735, spec=[1, 5, 1, 5], text=False, value_loss_coef=0.5)

Device: cpu

Environments loaded

Training status loaded

Observations preprocessor loaded
Model loaded

ACModel(
  (image_conv): Sequential(
    (0): Conv2d(3, 16, kernel_size=(2, 2), stride=(1, 1))
    (1): ReLU()
    (2): MaxPool2d(kernel_size=(2, 2), stride=(2, 2), padding=0, dilation=1, ceil_mode=False)
    (3): Conv2d(16, 32, kernel_size=(2, 2), stride=(1, 1))
    (4): ReLU()
    (5): Conv2d(32, 64, kernel_size=(2, 2), stride=(1, 1))
    (6): ReLU()
  )
  (actor): Sequential(
    (0): Linear(in_features=66, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=7, bias=True)
  )
  (critic): Sequential(
    (0): Linear(in_features=66, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=1, bias=True)
  )
)

Optimizer loaded

U 1 | F 002048 | FPS 0667 | D 3 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 0.0 0.0 0 0 | H 1.921 | V 0.086 | pL 0.009 | vL 0.001 | ∇ 0.076
U 2 | F 004096 | FPS 0662 | D 6 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 0.0 0.0 0 0 | H 1.926 | V 0.083 | pL 0.015 | vL 0.000 | ∇ 0.016
U 3 | F 006144 | FPS 0669 | D 9 | rR:μσmM 0.01 0.04 0.00 0.17 | F:μσmM 322.3 6.5 297.0 324.0 | H 1.938 | V 0.063 | pL 0.018 | vL 0.000 | ∇ 0.033
U 4 | F 008192 | FPS 0660 | D 12 | rR:μσmM 0.01 0.04 0.00 0.17 | F:μσmM 322.3 6.5 297.0 324.0 | H 1.941 | V 0.053 | pL 0.009 | vL 0.000 | ∇ 0.007
U 5 | F 010240 | FPS 0658 | D 15 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 324.0 0.0 324.0 324.0 | H 1.940 | V 0.045 | pL 0.008 | vL 0.000 | ∇ 0.009
U 6 | F 012288 | FPS 0661 | D 18 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 324.0 0.0 324.0 324.0 | H 1.941 | V 0.037 | pL 0.008 | vL 0.000 | ∇ 0.008
U 7 | F 014336 | FPS 0662 | D 21 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 324.0 0.0 324.0 324.0 | H 1.943 | V 0.030 | pL 0.005 | vL 0.000 | ∇ 0.008
U 8 | F 016384 | FPS 0663 | D 24 | rR:μσmM 0.02 0.06 0.00 0.20 | F:μσmM 320.3 9.9 289.0 324.0 | H 1.942 | V 0.023 | pL 0.004 | vL 0.000 | ∇ 0.011
U 9 | F 018432 | FPS 0660 | D 27 | rR:μσmM 0.05 0.15 0.00 0.59 | F:μσmM 311.5 42.6 148.0 324.0 | H 1.936 | V 0.026 | pL -0.001 | vL 0.001 | ∇ 0.026
U 10 | F 020480 | FPS 0663 | D 30 | rR:μσmM 0.05 0.15 0.00 0.59 | F:μσmM 310.2 43.3 148.0 324.0 | H 1.940 | V 0.027 | pL 0.003 | vL 0.000 | ∇ 0.015
Status saved
U 11 | F 022528 | FPS 0672 | D 34 | rR:μσmM 0.05 0.15 0.00 0.59 | F:μσmM 310.2 43.3 148.0 324.0 | H 1.944 | V 0.021 | pL 0.005 | vL 0.000 | ∇ 0.004
U 12 | F 024576 | FPS 0662 | D 37 | rR:μσmM 0.01 0.05 0.00 0.22 | F:μσmM 321.2 10.9 279.0 324.0 | H 1.944 | V 0.018 | pL 0.003 | vL 0.000 | ∇ 0.006
U 13 | F 026624 | FPS 0664 | D 40 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 324.0 0.0 324.0 324.0 | H 1.943 | V 0.012 | pL 0.004 | vL 0.000 | ∇ 0.006
U 14 | F 028672 | FPS 0667 | D 43 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 324.0 0.0 324.0 324.0 | H 1.945 | V 0.008 | pL 0.002 | vL 0.000 | ∇ 0.003
U 15 | F 030720 | FPS 0661 | D 46 | rR:μσmM 0.02 0.09 0.00 0.39 | F:μσmM 317.6 24.9 221.0 324.0 | H 1.943 | V 0.010 | pL -0.002 | vL 0.000 | ∇ 0.013
U 16 | F 032768 | FPS 0669 | D 49 | rR:μσmM 0.02 0.09 0.00 0.39 | F:μσmM 317.6 24.9 221.0 324.0 | H 1.941 | V 0.009 | pL 0.001 | vL 0.000 | ∇ 0.011
U 17 | F 034816 | FPS 0669 | D 52 | rR:μσmM 0.06 0.15 0.00 0.48 | F:μσmM 308.5 41.2 188.0 324.0 | H 1.935 | V 0.016 | pL -0.006 | vL 0.001 | ∇ 0.024
