-m --algo ppo --save-interval 10 --lr 0.001 --procs 8 --spec 0 2 0 2

Namespace(algo='ppo', batch_size=256, clip_eps=0.2, discount=0.99, entropy_coef=0.01, env=None, epochs=4, frames=10000000, frames_per_proc=None, gae_lambda=0.95, log_interval=1, lr=0.001, max_grad_norm=0.5, mem=False, model=None, optim_alpha=0.99, optim_eps=1e-08, procs=8, recurrence=1, save_interval=10, seed=402459, spec=[0, 2, 0, 2], text=False, value_loss_coef=0.5)

Device: cpu

Environments loaded

Training status loaded

Observations preprocessor loaded
Model loaded

ACModel(
  (image_conv): Sequential(
    (0): Conv2d(3, 16, kernel_size=(2, 2), stride=(1, 1))
    (1): ReLU()
    (2): MaxPool2d(kernel_size=(2, 2), stride=(2, 2), padding=0, dilation=1, ceil_mode=False)
    (3): Conv2d(16, 32, kernel_size=(2, 2), stride=(1, 1))
    (4): ReLU()
    (5): Conv2d(32, 64, kernel_size=(2, 2), stride=(1, 1))
    (6): ReLU()
  )
  (actor): Sequential(
    (0): Linear(in_features=66, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=7, bias=True)
  )
  (critic): Sequential(
    (0): Linear(in_features=66, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=1, bias=True)
  )
)

Optimizer loaded

U 1 | F 002048 | FPS 0668 | D 3 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 0.0 0.0 0 0 | H 1.936 | V 0.386 | pL 0.068 | vL 0.001 | ∇ 0.035
U 2 | F 004096 | FPS 0667 | D 6 | rR:μσmM 0.02 0.09 0.00 0.37 | F:μσmM 14.2 55.2 0.0 228.0 | H 1.937 | V 0.318 | pL 0.055 | vL 0.000 | ∇ 0.037
U 3 | F 006144 | FPS 0673 | D 9 | rR:μσmM 0.02 0.09 0.00 0.37 | F:μσmM 318.0 23.2 228.0 324.0 | H 1.921 | V 0.253 | pL 0.082 | vL 0.004 | ∇ 0.045
U 4 | F 008192 | FPS 0666 | D 12 | rR:μσmM 0.02 0.09 0.00 0.37 | F:μσmM 318.0 23.2 228.0 324.0 | H 1.933 | V 0.211 | pL 0.037 | vL 0.000 | ∇ 0.018
U 5 | F 010240 | FPS 0669 | D 15 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 324.0 0.0 324.0 324.0 | H 1.935 | V 0.180 | pL 0.033 | vL 0.000 | ∇ 0.017
U 6 | F 012288 | FPS 0670 | D 18 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 324.0 0.0 324.0 324.0 | H 1.933 | V 0.150 | pL 0.036 | vL 0.001 | ∇ 0.021
U 7 | F 014336 | FPS 0667 | D 21 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 324.0 0.0 324.0 324.0 | H 1.935 | V 0.131 | pL 0.024 | vL 0.000 | ∇ 0.015
U 8 | F 016384 | FPS 0669 | D 24 | rR:μσmM 0.02 0.07 0.00 0.27 | F:μσmM 320.2 14.8 263.0 324.0 | H 1.930 | V 0.102 | pL 0.032 | vL 0.001 | ∇ 0.015
U 9 | F 018432 | FPS 0662 | D 27 | rR:μσmM 0.02 0.07 0.00 0.27 | F:μσmM 320.2 14.8 263.0 324.0 | H 1.938 | V 0.084 | pL 0.015 | vL 0.000 | ∇ 0.008
U 10 | F 020480 | FPS 0664 | D 30 | rR:μσmM 0.01 0.05 0.00 0.19 | F:μσmM 322.1 7.5 293.0 324.0 | H 1.939 | V 0.071 | pL 0.013 | vL 0.000 | ∇ 0.009
Status saved
