-m --algo ppo --save-interval 10 --lr 0.001 --procs 8 --spec 0 6 0 3

Namespace(algo='ppo', batch_size=256, clip_eps=0.2, discount=0.99, entropy_coef=0.01, env=None, epochs=4, frames=10000000, frames_per_proc=None, gae_lambda=0.95, log_interval=1, lr=0.001, max_grad_norm=0.5, mem=False, model=None, optim_alpha=0.99, optim_eps=1e-08, procs=8, recurrence=1, save_interval=10, seed=190644, spec=[0, 6, 0, 3], text=False, value_loss_coef=0.5)

Device: cpu

Environments loaded

Training status loaded

Observations preprocessor loaded
Model loaded

ACModel(
  (image_conv): Sequential(
    (0): Conv2d(3, 16, kernel_size=(2, 2), stride=(1, 1))
    (1): ReLU()
    (2): MaxPool2d(kernel_size=(2, 2), stride=(2, 2), padding=0, dilation=1, ceil_mode=False)
    (3): Conv2d(16, 32, kernel_size=(2, 2), stride=(1, 1))
    (4): ReLU()
    (5): Conv2d(32, 64, kernel_size=(2, 2), stride=(1, 1))
    (6): ReLU()
  )
  (actor): Sequential(
    (0): Linear(in_features=66, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=7, bias=True)
  )
  (critic): Sequential(
    (0): Linear(in_features=66, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=1, bias=True)
  )
)

Optimizer loaded

U 1 | F 002048 | FPS 0660 | D 3 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 0.0 0.0 0 0 | H 1.923 | V -0.121 | pL -0.020 | vL 0.000 | ∇ 0.044
U 2 | F 004096 | FPS 0661 | D 6 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 0.0 0.0 0 0 | H 1.938 | V -0.090 | pL -0.016 | vL 0.000 | ∇ 0.018
U 3 | F 006144 | FPS 0671 | D 9 | rR:μσmM 0.01 0.03 0.00 0.11 | F:μσmM 323.8 0.7 321.0 324.0 | H 1.940 | V -0.068 | pL -0.025 | vL 0.000 | ∇ 0.041
U 4 | F 008192 | FPS 0659 | D 12 | rR:μσmM 0.01 0.03 0.00 0.11 | F:μσmM 323.8 0.7 321.0 324.0 | H 1.944 | V -0.059 | pL -0.010 | vL 0.000 | ∇ 0.012
U 5 | F 010240 | FPS 0665 | D 15 | rR:μσmM 0.01 0.03 0.00 0.11 | F:μσmM 323.8 0.7 321.0 324.0 | H 1.943 | V -0.048 | pL -0.008 | vL 0.000 | ∇ 0.007
U 6 | F 012288 | FPS 0667 | D 18 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 324.0 0.0 324.0 324.0 | H 1.943 | V -0.038 | pL -0.009 | vL 0.000 | ∇ 0.012
U 7 | F 014336 | FPS 0664 | D 21 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 324.0 0.0 324.0 324.0 | H 1.943 | V -0.033 | pL -0.006 | vL 0.000 | ∇ 0.007
U 8 | F 016384 | FPS 0666 | D 24 | rR:μσmM 0.01 0.06 0.00 0.23 | F:μσmM 321.1 11.4 277.0 324.0 | H 1.941 | V -0.023 | pL -0.011 | vL 0.000 | ∇ 0.013
U 9 | F 018432 | FPS 0656 | D 27 | rR:μσmM 0.08 0.22 0.00 0.67 | F:μσmM 298.9 66.3 120.0 324.0 | H 1.938 | V -0.012 | pL -0.016 | vL 0.001 | ∇ 0.029
U 10 | F 020480 | FPS 0655 | D 30 | rR:μσmM 0.08 0.22 0.00 0.67 | F:μσmM 298.9 66.3 120.0 324.0 | H 1.937 | V -0.009 | pL -0.003 | vL 0.001 | ∇ 0.019
Status saved
