-m --algo ppo --save-interval 10 --lr 0.001 --procs 8 --spec 1 5 1 5

Namespace(algo='ppo', batch_size=256, clip_eps=0.2, discount=0.99, entropy_coef=0.01, env=None, epochs=4, frames=10000000, frames_per_proc=None, gae_lambda=0.95, log_interval=1, lr=0.001, max_grad_norm=0.5, mem=False, model=None, optim_alpha=0.99, optim_eps=1e-08, procs=8, recurrence=1, save_interval=10, seed=101190, spec=[1, 5, 1, 5], text=False, value_loss_coef=0.5)

Device: cpu

Environments loaded

Training status loaded

Observations preprocessor loaded
Model loaded

ACModel(
  (image_conv): Sequential(
    (0): Conv2d(3, 16, kernel_size=(2, 2), stride=(1, 1))
    (1): ReLU()
    (2): MaxPool2d(kernel_size=(2, 2), stride=(2, 2), padding=0, dilation=1, ceil_mode=False)
    (3): Conv2d(16, 32, kernel_size=(2, 2), stride=(1, 1))
    (4): ReLU()
    (5): Conv2d(32, 64, kernel_size=(2, 2), stride=(1, 1))
    (6): ReLU()
  )
  (actor): Sequential(
    (0): Linear(in_features=66, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=7, bias=True)
  )
  (critic): Sequential(
    (0): Linear(in_features=66, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=1, bias=True)
  )
)

Optimizer loaded

U 1 | F 002048 | FPS 0664 | D 3 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 0.0 0.0 0 0 | H 1.884 | V -0.150 | pL -0.026 | vL 0.001 | ∇ 0.088
U 2 | F 004096 | FPS 0665 | D 6 | rR:μσmM 0.03 0.11 0.00 0.44 | F:μσmM 12.5 48.4 0.0 200.0 | H 1.915 | V -0.119 | pL -0.026 | vL 0.001 | ∇ 0.034
U 3 | F 006144 | FPS 0667 | D 9 | rR:μσmM 0.03 0.11 0.00 0.44 | F:μσmM 316.2 30.0 200.0 324.0 | H 1.930 | V -0.096 | pL -0.031 | vL 0.001 | ∇ 0.028
U 4 | F 008192 | FPS 0665 | D 12 | rR:μσmM 0.03 0.11 0.00 0.44 | F:μσmM 316.2 30.0 200.0 324.0 | H 1.938 | V -0.077 | pL -0.013 | vL 0.000 | ∇ 0.016
U 5 | F 010240 | FPS 0671 | D 15 | rR:μσmM 0.01 0.04 0.00 0.16 | F:μσmM 322.7 5.1 303.0 324.0 | H 1.936 | V -0.066 | pL -0.015 | vL 0.000 | ∇ 0.025
U 6 | F 012288 | FPS 0667 | D 18 | rR:μσmM 0.01 0.04 0.00 0.16 | F:μσmM 322.7 5.1 303.0 324.0 | H 1.940 | V -0.057 | pL -0.014 | vL 0.000 | ∇ 0.020
U 7 | F 014336 | FPS 0662 | D 21 | rR:μσmM 0.01 0.04 0.00 0.16 | F:μσmM 322.7 5.1 303.0 324.0 | H 1.943 | V -0.046 | pL -0.008 | vL 0.000 | ∇ 0.011
U 8 | F 016384 | FPS 0674 | D 24 | rR:μσmM 0.02 0.07 0.00 0.28 | F:μσmM 319.9 16.0 258.0 324.0 | H 1.940 | V -0.032 | pL -0.013 | vL 0.000 | ∇ 0.020
U 9 | F 018432 | FPS 0668 | D 27 | rR:μσmM 0.02 0.07 0.00 0.28 | F:μσmM 319.9 16.0 258.0 324.0 | H 1.943 | V -0.025 | pL -0.005 | vL 0.000 | ∇ 0.007
U 10 | F 020480 | FPS 0664 | D 30 | rR:μσmM 0.01 0.03 0.00 0.14 | F:μσmM 323.0 3.9 308.0 324.0 | H 1.941 | V -0.019 | pL -0.006 | vL 0.000 | ∇ 0.011
Status saved
U 11 | F 022528 | FPS 0668 | D 33 | rR:μσmM 0.05 0.17 0.00 0.71 | F:μσmM 309.4 52.7 106.0 324.0 | H 1.939 | V -0.006 | pL -0.010 | vL 0.002 | ∇ 0.046
U 12 | F 024576 | FPS 0663 | D 36 | rR:μσmM 0.09 0.22 0.00 0.71 | F:μσmM 297.9 66.3 106.0 324.0 | H 1.936 | V -0.001 | pL -0.006 | vL 0.001 | ∇ 0.022
U 13 | F 026624 | FPS 0670 | D 40 | rR:μσmM 0.10 0.23 0.00 0.72 | F:μσmM 293.6 68.5 100.0 324.0 | H 1.935 | V 0.008 | pL -0.009 | vL 0.001 | ∇ 0.034
